出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類
"1120831","4113","聯上","常會","1120629","1120501","1120629","","","","","","","0","0","","0","1120504","104846",""
"1120831","4114","健喬","臨時會","1120713","1120614","1120713","","","","","","","0","0","","0","1120606","175637",""
"1120831","4114","健喬","常會","1120525","1120327","1120525","","","","","","","0","0","","0","1120328","83221",""
"1120831","4116","明基醫","常會","1120609","1120411","1120609","","","","","0","0.00","0","0","","0","1120303","94057",""
"1120831","4120","友華","常會","1120626","1120428","1120626","","","","","","","0","0","","0","1120515","161533",""
"1120831","4121","優盛","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120406","205644",""
"1120831","4123","晟德","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120420","185214",""
"1120831","4126","太醫","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120419","153437",""
"1120831","4127","天良","常會","1120619","1120421","1120619","","","","","","","0","0","","0","1120331","144615",""
"1120831","4128","中天","常會","1120418","1120218","1120418","","","","","","","0","0","","0","1120301","180739",""
"1120831","4129","聯合","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120322","164814",""
"1120831","4130","健亞","常會","1120529","1120331","1120529","","","","","0","0.00","0","0","","0","1120314","113656",""
"1120831","4131","浩泰","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120504","174518",""
"1120831","4138","曜亞","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120420","142422",""
"1120831","4139","馬光-KY","常會","1120626","1120428","1120626","","","","","","","0","0","","0","1120321","173645",""
"1120831","4147","中裕","常會","1120511","1120313","1120511","","","","","","","0","0","","0","1120220","110501",""
"1120831","4153","鈺緯","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120321","173828",""
"1120831","4154","樂威科-KY","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120510","90709",""
"1120831","4157","太景*-KY","常會","1120526","1120328","1120526","","","","","","","0","0","","0","1120309","181619",""
"1120831","4160","訊聯基因","常會","1120616","1120418","1120616","","","","","0","0.00","0","0","","0","1120421","173603",""
"1120831","4161","聿新科","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120313","173825",""
"1120831","4162","智擎","常會","1120524","1120326","1120524","","","","","0","0.00","0","0","","0","1120329","221522",""
"1120831","4163","鐿鈦","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120511","100127",""
"1120831","4167","松瑞藥","常會","1120615","1120417","1120615","","","","","","","0","0","","0","1120508","90225",""
"1120831","4168","醣聯","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120425","165852",""
"1120831","4171","瑞基","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120419","125745",""
"1120831","4173","久裕","常會","1120614","1120416","1120614","","","","","","","0","0","","0","1120324","175202",""
"1120831","4174","浩鼎","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120509","160509",""
"1120831","4175","杏一","常會","1120531","1120402","1120531","","","","","","","0","0","","0","1120310","132953",""
"1120831","4183","福永生技","常會","1120616","1120418","1120616","","","","","","","0","0","","0","1120323","115017",""
"1120831","4188","安克","常會","1120518","1120320","1120518","","","","","","","0","0","","0","1120301","210729",""
"1120831","4192","杏國","常會","1120505","1120307","1120505","","","","","","","0","0","","0","1120320","181715",""
"1120831","4198","欣大健康","常會","1120627","1120429","1120627","","","","","","","0","0","","0","1120420","161621",""
"1120831","4205","中華食","常會","1120620","1120422","1120620","","","","","","","0","0","","0","1120329","103233",""
"1120831","4207","環泰","常會","1120621","1120423","1120621","","","","","","","0","0","","0","1120330","173559",""
"1120831","4303","信立","常會","1120526","1120328","1120526","","","","","0","0.00","0","0","","0","1120407","221602",""
"1120831","4304","勝昱","常會","1120628","1120430","1120628","","","","","","","0","0","","0","1120413","203341",""
"1120831","4305","世坤","常會","1120617","1120419","1120617","","","","","0","0.00","0","0","","0","1120318","220008",""
"1120831","4401","東隆興","常會","1120602","1120404","1120602","","","","","","","0","0","","0","1120315","173706",""
"1120831","4402","福大","常會","1120621","1120423","1120621","","","","","0","0.00","0","0","","0","1120512","142423",""
